country,code,year,energy
Africa,,2017,4195.585237
Algeria,DZA,2017,15064.6784
Argentina,ARG,2017,22550.74012
Australia,AUS,2017,66333.9307
Austria,AUT,2017,46183.62321
Azerbaijan,AZE,2017,16874.53012
Bangladesh,BGD,2017,2422.379185
Belarus,BLR,2017,28892.76559
Belgium,BEL,2017,64639.18972
Brazil,BRA,2017,16123.59283
Bulgaria,BGR,2017,30285.74284
Canada,CAN,2017,106699.9808
Chile,CHL,2017,23759.38671
China,CHN,2017,25574.67694
Colombia,COL,2017,10445.48825
Croatia,HRV,2017,22318.15914
Cyprus,CYP,2017,27540.71271
Czech Republic,CZE,2017,45162.36243
Denmark,DNK,2017,34359.68976
Ecuador,ECU,2017,11377.15955
Egypt,EGY,2017,11072.25941
Estonia,EST,2017,59027.09844
Europe,,2017,31584.44243
Finland,FIN,2017,57559.99
France,FRA,2017,41553.88093
Germany,DEU,2017,46322.04148
Greece,GRC,2017,30676.64537
Hong Kong,HKG,2017,49200.01792
Hungary,HUN,2017,27882.55665
Iceland,ISL,2017,184731.8968
India,IND,2017,6501.978412
Indonesia,IDN,2017,7947.958808
Iran,IRN,2017,38925.26173
Iraq,IRQ,2017,14146.42925
Ireland,IRL,2017,38045.30693
Israel,ISR,2017,36555.39823
Italy,ITA,2017,29730.61964
Japan,JPN,2017,41155.31095
Kazakhstan,KAZ,2017,43896.35803
Kuwait,KWT,2017,108035.9348
Latvia,LVA,2017,24388.01569
Lithuania,LTU,2017,23917.9381
Luxembourg,LUX,2017,74567.40247
Macedonia,MKD,2017,14022.74363
Malaysia,MYS,2017,38156.88877
Mexico,MEX,2017,17576.57253
Morocco,MAR,2017,6526.612571
Netherlands,NLD,2017,57622.29094
New Zealand,NZL,2017,53534.50216
North America,,2017,87748.43154
Norway,NOR,2017,100801.7991
Oman,OMN,2017,79943.98928
Pakistan,PAK,2017,4503.049266
Peru,PER,2017,9606.983915
Philippines,PHL,2017,5025.290696
Poland,POL,2017,31583.27977
Portugal,PRT,2017,28998.65531
Qatar,QAT,2017,195973.2651
Romania,ROU,2017,19550.34386
Russia,RUS,2017,55109.14952
Saudi Arabia,SAU,2017,92361.45807
Singapore,SGP,2017,174633.5467
Slovakia,SVK,2017,35150.55038
Slovenia,SVN,2017,38362.97907
South Africa,ZAF,2017,25589.34514
South Korea,KOR,2017,67263.87986
Spain,ESP,2017,34175.28978
Sri Lanka,LKA,2017,4298.054747
Sweden,SWE,2017,61979.8556
Switzerland,CHE,2017,36505.8586
Taiwan,TWN,2017,57098.40586
Thailand,THA,2017,21876.92969
Trinidad and Tobago,TTO,2017,151217.5652
Turkey,TUR,2017,21822.85496
Turkmenistan,TKM,2017,56634.57987
Ukraine,UKR,2017,21581.08326
United Arab Emirates,ARE,2017,138074.5566
United Kingdom,GBR,2017,33267.13412
United States,USA,2017,78894.40966
Uzbekistan,UZB,2017,15541.84011
Venezuela,VEN,2017,26974.73805
Vietnam,VNM,2017,9741.060888
World,OWID_WRL,2017,20624.76067
